StationCast,320,340,380,395,412,443,465,490,510,532,555,560,625,665,670,683,710,780
680-1 1,0.00000515,0.00003751,0.00030869,0.00041749,0.00055089,0.00092466,0.00133474,0.0019838,0.00226367,0.00257912,0.0027914,0.00271642,0.00114571,0.0007807,0.00075039,0.00073082,0.00041055,0.00006166
680-1 2,0.00000636,0.00004035,0.00030726,0.00041586,0.00056362,0.00096411,0.00139337,0.00204586,0.00230948,0.00259948,0.00277187,0.0027001,0.00114396,0.00079125,0.00076603,0.00075148,0.00041768,0.00006681
680-1 3,0.00000315,0.00002923,0.00032666,0.00040975,0.00055009,0.00093885,0.00135711,0.00200224,0.00227698,0.00257918,0.0027687,0.00269523,0.00113733,0.00078192,0.0007555,0.00073873,0.00041164,0.00006046
680-1 4,0.00000674,0.0000597,0.00029072,0.00042471,0.00056497,0.0009674,0.00140711,0.00208135,0.0023417,0.00263986,0.00281379,0.00273373,0.00116238,0.00079807,0.00076991,0.00075006,0.00042189,0.00006488
680-2 5,0.00001699,0.00011016,0.00029325,0.00041486,0.00056153,0.00097303,0.00139498,0.00204237,0.00228902,0.00261409,0.00281566,0.00275124,0.00114067,0.00077543,0.0007483,0.00073448,0.00041469,0.00006334
680-2 6,0.00000617,0.0001451,0.00031956,0.00044674,0.00058796,0.00099215,0.00141573,0.00206058,0.00233581,0.00266276,0.00288154,0.00280341,0.00119005,0.00081783,0.00078987,0.00077391,0.00043934,0.00007167
680-2 7,0.00000264,0.00012361,0.00030114,0.00042758,0.0005674,0.00095248,0.00135834,0.00197532,0.00223697,0.00253971,0.00273773,0.00265387,0.00113669,0.00077411,0.00074628,0.00072455,0.0004174,0.0000738
394 8,0.00000967,0.00018561,0.00064041,0.0009212,0.00127874,0.00229796,0.00337095,0.00498451,0.00595979,0.0071508,0.00819966,0.00811502,0.00381595,0.00269094,0.00259872,0.00257741,0.0014401,0.00021996
394 9,0.00001193,0.00020151,0.00058574,0.00087707,0.0012317,0.00225438,0.00329958,0.00489259,0.00583211,0.00699339,0.00798514,0.00790158,0.003553,0.00247219,0.0023744,0.00234272,0.00131789,0.00022382
394 10,0.00004478,0.0002678,0.00060479,0.00091661,0.00128487,0.00233872,0.00339568,0.00499823,0.00593544,0.00708803,0.00807468,0.00799443,0.00371293,0.00260354,0.00250379,0.00246979,0.00139028,0.00022728
280-1 11,0.00060764,0.00088935,0.00172551,0.00225645,0.00276258,0.00389153,0.00476811,0.00547863,0.00485645,0.00459469,0.00413735,0.00391603,0.00112149,0.00073561,0.00071991,0.00075715,0.0003768,0.00004882
280-1 12,0.00054668,0.00079946,0.00159266,0.00211156,0.00259181,0.00360736,0.00438191,0.00495698,0.00433174,0.00405185,0.0036363,0.00342835,0.00099938,0.00064927,0.00063254,0.00065852,0.00032126,0.00002245
280-1 13,0.0005551,0.00081464,0.00161784,0.00211968,0.00258124,0.00358625,0.00434947,0.00488579,0.00423772,0.00394239,0.00352139,0.00331861,0.00096173,0.00062977,0.0006195,0.00065535,0.00031388,0.00003723
260-1 14,0.00139634,0.00189319,0.00298488,0.00340549,0.00361463,0.0039608,0.00433306,0.00441728,0.00336463,0.00289557,0.0023749,0.00219103,0.00054331,0.00034835,0.00033854,0.00034392,0.00018004,0.00001907
260-1 15,0.0014071,0.00191801,0.00305854,0.00351109,0.00372815,0.00409741,0.00450985,0.00465659,0.00353644,0.00304902,0.00250226,0.00230159,0.00055049,0.00034261,0.0003307,0.00033076,0.00017369,0.00001529
260-1 16,0.00142424,0.00193758,0.00310588,0.00356155,0.00379619,0.00419473,0.00463189,0.00475947,0.00366769,0.00319059,0.00263472,0.00242666,0.00057706,0.00034938,0.00033367,0.00032573,0.00015288,0.00000366
260-1 17,0.00143936,0.00196319,0.00313276,0.00360357,0.00385876,0.00427987,0.00472738,0.00490657,0.00379022,0.00330393,0.00273394,0.00251863,0.00063617,0.0004163,0.00039954,0.00039906,0.00023408,0.00003674
220-1 18,0.00161002,0.00218941,0.0033028,0.00373068,0.00393608,0.00429497,0.00450503,0.00414459,0.00272709,0.00210592,0.00160682,0.00146512,0.00044118,0.00030317,0.0002926,0.00028605,0.00016275,0.00000937
220-1 19,0.00140773,0.00193422,0.00297747,0.00336616,0.00355291,0.00389586,0.00408778,0.00370718,0.00234108,0.00173868,0.00124358,0.00111015,0.00020785,0.00011614,0.0001117,0.00010924,0.0000547,0.00000662
220-1 20,0.00135424,0.00187649,0.00293163,0.00333767,0.00353541,0.00388933,0.00408547,0.00371062,0.00233754,0.00173169,0.00123693,0.00110254,0.00020039,0.00011237,0.00010876,0.00010725,0.00005222,0.00000613
240-1 21,0.0015774,0.00213821,0.00324894,0.00362509,0.00376943,0.00398018,0.00415094,0.00382686,0.00249607,0.00191918,0.00142606,0.00130123,0.00040124,0.00028005,0.00027238,0.0002733,0.00018191,0.00003725
240-1 22,0.00146657,0.00201691,0.0031248,0.00349507,0.00364187,0.00383984,0.00399013,0.00365925,0.00234637,0.0017692,0.00127472,0.00114139,0.00019721,0.00010934,0.00010575,0.00010393,0.00004681,0.00000344
240-1 23,0.00150241,0.00206816,0.00320756,0.00358395,0.00373392,0.00393844,0.00409098,0.0037486,0.0024065,0.00181578,0.00131076,0.00117315,0.00020235,0.00011332,0.0001099,0.00010883,0.00004986,0.00000456
110-1 24,0.00128524,0.00175092,0.00275706,0.00317263,0.00341108,0.00376457,0.0040129,0.00378948,0.00251455,0.0019602,0.00146921,0.00132759,0.00027789,0.00016787,0.00016201,0.00016049,0.00008013,0.00000882
110-1 25,0.0012588,0.00175114,0.00288338,0.00335938,0.0036472,0.00409655,0.00439912,0.00418422,0.00278135,0.00216597,0.00161323,0.00145461,0.00026831,0.0001554,0.00015055,0.00014977,0.00007041,0.0000077
